 2B  600.237586 1.810E-30 5.771E-01.06830.087 1031.63500.74-.000660       1 0 0 02       0 1 1 01                    Q 32f     376663243110 9 711  1950.0 1950.0
 2B  600.278198 2.770E-30 5.806E-01.06850.088 1008.08910.74-.000653       1 0 0 02       0 1 1 01                    Q 31f     376663243110 9 711  2646.0 2646.0
 2B  600.317400 2.150E-30 5.833E-01.06880.088  985.27810.74-.000647       1 0 0 02       0 1 1 01                    Q 30f     376663243110 9 711  1830.0 1830.0
 2B  600.355202 3.250E-30 5.849E-01.06900.089  963.20200.73-.000641       1 0 0 02       0 1 1 01                    Q 29f     376663243110 9 711  2478.0 2478.0
 2B  600.391619 2.490E-30 5.855E-01.06930.090  941.86100.73-.000635       1 0 0 02       0 1 1 01                    Q 28f     376663243110 9 711  1710.0 1710.0
 2B  600.426664 3.730E-30 5.874E-01.06960.091  921.25510.73-.000628       1 0 0 02       0 1 1 01                    Q 27f     376663243110 9 711  2310.0 2310.0
 2B  600.460347 2.840E-30 5.900E-01.06990.092  901.38440.73-.000622       1 0 0 02       0 1 1 01                    Q 26f     376663243110 9 711  1590.0 1590.0
 2B  600.492682 4.210E-30 5.917E-01.07020.093  882.24900.72-.000615       1 0 0 02       0 1 1 01                    Q 25f     376663243110 9 711  2142.0 2142.0
 2B  600.523679 3.160E-30 5.918E-01.07060.094  863.84890.72-.000609       1 0 0 02       0 1 1 01                    Q 24f     376663243110 9 711  1470.0 1470.0
 2B  600.553349 4.640E-30 5.939E-01.07090.095  846.18430.72-.000602       1 0 0 02       0 1 1 01                    Q 23f     376663243110 9 711  1974.0 1974.0
 2B  600.581703 3.450E-30 5.948E-01.07130.095  829.25520.71-.000595       1 0 0 02       0 1 1 01                    Q 22f     376663243110 9 711  1350.0 1350.0
 2B  600.608751 5.010E-30 5.968E-01.07170.096  813.06170.71-.000588       1 0 0 02       0 1 1 01                    Q 21f     376663243110 9 711  1806.0 1806.0
 2B  600.634503 3.690E-30 5.987E-01.07220.097  797.60380.71-.000580       1 0 0 02       0 1 1 01                    Q 20f     376663243110 9 711  1230.0 1230.0
 2B  600.658967 5.290E-30 6.001E-01.07260.098  782.88160.70-.000573       1 0 0 02       0 1 1 01                    Q 19f     376663243110 9 711  1638.0 1638.0
 2B  600.682154 3.840E-30 6.006E-01.07310.099  768.89520.70-.000565       1 0 0 02       0 1 1 01                    Q 18f     376663243110 9 711  1110.0 1110.0
 2B  600.704070 5.440E-30 6.024E-01.07370.100  755.64450.70-.000558       1 0 0 02       0 1 1 01                    Q 17f     376663243110 9 711  1470.0 1470.0
 2B  600.724725 3.900E-30 6.035E-01.07420.101  743.12980.69-.000550       1 0 0 02       0 1 1 01                    Q 16f     376663243110 9 711   990.0  990.0
